"Tabela 6697 - Indicador 3.3.2 - Taxa de incidência da tuberculose por 100 mil habitantes"
"Variável - Taxa de incidência da tuberculose por 100 mil habitantes (Casos por 100 mil habitantes)"
"";"Ano"
"";"2015"
"Brasil";"33,6"
"Fonte: Minist&eacute;rio da Sa&uacute;de, Sistema de Informa&ccedil;&atilde;o de Agravos de Notifica&ccedil;&atilde;o - SINAN e IBGE, Proje&ccedil;&atilde;o da Popula&ccedil;&atilde;o por Sexo e Idade para o Brasil, Grandes Regi&otilde;es e Unidades da Federa&ccedil;&atilde;o 2013."

""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
